,file,channel,n_hfos,duration_samples,duration_sec
63,sub-01_ses-01_task-hfo_run-02_eeg.edf,C3-P3,2,91,0.182
64,sub-01_ses-01_task-hfo_run-02_eeg.edf,P3-O1,3,151,0.302
65,sub-01_ses-01_task-hfo_run-02_eeg.edf,Fp2-F4,1,47,0.094
66,sub-01_ses-01_task-hfo_run-02_eeg.edf,F4-C4,0,0,0.0
67,sub-01_ses-01_task-hfo_run-02_eeg.edf,C4-P4,0,0,0.0
68,sub-01_ses-01_task-hfo_run-02_eeg.edf,P4-O2,0,0,0.0
69,sub-01_ses-01_task-hfo_run-02_eeg.edf,Fz-Cz,0,0,0.0
70,sub-01_ses-01_task-hfo_run-02_eeg.edf,Cz-Pz,1,49,0.098
71,sub-01_ses-01_task-hfo_run-02_eeg.edf,Fp1-Fz,1,54,0.108
72,sub-01_ses-01_task-hfo_run-02_eeg.edf,Fp2-Fz,0,0,0.0
73,sub-01_ses-01_task-hfo_run-02_eeg.edf,F7-F3,1,61,0.122
74,sub-01_ses-01_task-hfo_run-02_eeg.edf,F3-Fz,0,0,0.0
75,sub-01_ses-01_task-hfo_run-02_eeg.edf,F8-F4,0,0,0.0
76,sub-01_ses-01_task-hfo_run-02_eeg.edf,F4-Fz,0,0,0.0
77,sub-01_ses-01_task-hfo_run-02_eeg.edf,T3-C3,0,0,0.0
78,sub-01_ses-01_task-hfo_run-02_eeg.edf,C3-Cz,0,0,0.0
79,sub-01_ses-01_task-hfo_run-02_eeg.edf,T4-C4,5,244,0.488
80,sub-01_ses-01_task-hfo_run-02_eeg.edf,C4-Cz,0,0,0.0
81,sub-01_ses-01_task-hfo_run-02_eeg.edf,T5-P3,2,88,0.176
82,sub-01_ses-01_task-hfo_run-02_eeg.edf,P3-Pz,2,91,0.182
83,sub-01_ses-01_task-hfo_run-02_eeg.edf,T6-P4,0,0,0.0
84,sub-01_ses-01_task-hfo_run-02_eeg.edf,P4-Pz,0,0,0.0
85,sub-01_ses-01_task-hfo_run-02_eeg.edf,Pz-O1,1,50,0.1
86,sub-01_ses-01_task-hfo_run-02_eeg.edf,Pz-O2,0,0,0.0
87,sub-01_ses-01_task-hfo_run-02_eeg.edf,O1-O2,0,0,0.0
88,sub-01_ses-01_task-hfo_run-02_eeg.edf,F7-C3,1,62,0.124
89,sub-01_ses-01_task-hfo_run-02_eeg.edf,C3-Fz,0,0,0.0
90,sub-01_ses-01_task-hfo_run-02_eeg.edf,F8-C4,0,0,0.0
91,sub-01_ses-01_task-hfo_run-02_eeg.edf,C4-Fz,0,0,0.0
92,sub-01_ses-01_task-hfo_run-02_eeg.edf,T5-C3,0,0,0.0
93,sub-01_ses-01_task-hfo_run-02_eeg.edf,C3-Pz,0,0,0.0
94,sub-01_ses-01_task-hfo_run-02_eeg.edf,T6-C4,0,0,0.0
95,sub-01_ses-01_task-hfo_run-02_eeg.edf,C4-Pz,0,0,0.0
96,sub-01_ses-01_task-hfo_run-02_eeg.edf,T3-P3,0,0,0.0
97,sub-01_ses-01_task-hfo_run-02_eeg.edf,P3-Cz,3,139,0.278
98,sub-01_ses-01_task-hfo_run-02_eeg.edf,T4-P4,2,97,0.194
99,sub-01_ses-01_task-hfo_run-02_eeg.edf,P4-Cz,0,0,0.0
100,sub-01_ses-01_task-hfo_run-02_eeg.edf,T3-F3,0,0,0.0
101,sub-01_ses-01_task-hfo_run-02_eeg.edf,F3-Cz,0,0,0.0
102,sub-01_ses-01_task-hfo_run-02_eeg.edf,T4-F4,1,61,0.122
103,sub-01_ses-01_task-hfo_run-02_eeg.edf,F4-Cz,0,0,0.0
104,sub-01_ses-01_task-hfo_run-03_eeg.edf,Fp1-Fp2,3,222,0.444
105,sub-01_ses-01_task-hfo_run-03_eeg.edf,Fp1-F7,1,56,0.112
106,sub-01_ses-01_task-hfo_run-03_eeg.edf,F7-T3,2,137,0.274
107,sub-01_ses-01_task-hfo_run-03_eeg.edf,T3-T5,1,43,0.086
108,sub-01_ses-01_task-hfo_run-03_eeg.edf,T5-O1,0,0,0.0
109,sub-01_ses-01_task-hfo_run-03_eeg.edf,Fp2-F8,1,51,0.102
110,sub-01_ses-01_task-hfo_run-03_eeg.edf,F8-T4,2,199,0.398
111,sub-01_ses-01_task-hfo_run-03_eeg.edf,T4-T6,1,172,0.344
112,sub-01_ses-01_task-hfo_run-03_eeg.edf,T6-O2,0,0,0.0
113,sub-01_ses-01_task-hfo_run-03_eeg.edf,Fp1-F3,2,144,0.288
114,sub-01_ses-01_task-hfo_run-03_eeg.edf,F3-C3,5,309,0.618
115,sub-01_ses-01_task-hfo_run-03_eeg.edf,C3-P3,6,332,0.664
116,sub-01_ses-01_task-hfo_run-03_eeg.edf,P3-O1,7,339,0.678
117,sub-01_ses-01_task-hfo_run-03_eeg.edf,Fp2-F4,2,117,0.234
118,sub-01_ses-01_task-hfo_run-03_eeg.edf,F4-C4,3,179,0.358
119,sub-01_ses-01_task-hfo_run-03_eeg.edf,C4-P4,0,0,0.0
120,sub-01_ses-01_task-hfo_run-03_eeg.edf,P4-O2,0,0,0.0
121,sub-01_ses-01_task-hfo_run-03_eeg.edf,Fz-Cz,0,0,0.0
122,sub-01_ses-01_task-hfo_run-03_eeg.edf,Cz-Pz,0,0,0.0
123,sub-01_ses-01_task-hfo_run-03_eeg.edf,Fp1-Fz,1,53,0.106
124,sub-01_ses-01_task-hfo_run-03_eeg.edf,Fp2-Fz,0,0,0.0
125,sub-01_ses-01_task-hfo_run-03_eeg.edf,F7-F3,5,356,0.712
126,sub-01_ses-01_task-hfo_run-03_eeg.edf,F3-Fz,5,318,0.636
127,sub-01_ses-01_task-hfo_run-03_eeg.edf,F8-F4,2,116,0.232
128,sub-01_ses-01_task-hfo_run-03_eeg.edf,F4-Fz,2,117,0.234
129,sub-01_ses-01_task-hfo_run-03_eeg.edf,T3-C3,1,42,0.084
130,sub-01_ses-01_task-hfo_run-03_eeg.edf,C3-Cz,0,0,0.0
131,sub-01_ses-01_task-hfo_run-03_eeg.edf,T4-C4,1,246,0.492
132,sub-01_ses-01_task-hfo_run-03_eeg.edf,C4-Cz,1,84,0.168
133,sub-01_ses-01_task-hfo_run-03_eeg.edf,T5-P3,2,96,0.192
134,sub-01_ses-01_task-hfo_run-03_eeg.edf,P3-Pz,0,0,0.0
